20260323,1101,台泥,8837000,1094000,209913565,0
20260323,1102,亞泥,2629000,74000,106557000,0
20260323,1103,嘉泥,61000,21000,1981000,0
20260323,1104,環泥,36000,24000,1808660,0
20260323,1108,幸福,3000,0,441000,0
20260323,1109,信大,16000,0,537000,0
20260323,1110,東泥,4000,0,698000,0
20260323,1201,味全,66000,26000,2357000,0
20260323,1203,味王,5000,0,69000,0
20260323,1210,大成,68000,58000,7725100,0
20260323,1213,大飲,0,0,0,0
20260323,1215,卜蜂,242000,15000,6667900,0
20260323,1216,統一,3229000,30000,166623111,0
20260323,1217,愛之味,62000,143000,6085000,0
20260323,1218,泰山,27000,1000,4239908,0
20260323,1219,福壽,21000,59000,834880,0
20260323,1220,台榮,12000,0,658000,0
20260323,1225,福懋油,0,0,0,0
20260323,1227,佳格,301000,54000,13143000,0
20260323,1229,聯華,283000,5000,17560667,0
20260323,1231,聯華食,20000,133000,6211700,0
20260323,1232,大統益,9000,0,339000,0
20260323,1233,天仁,2000,0,74000,0
20260323,1234,黑松,15000,0,1029000,0
20260323,1235,興泰,1000,0,34690,0
20260323,1236,宏亞,0,5000,143000,0
20260323,1240,茂生農經,0,0,14550,0
20260323,1256,鮮活果汁-KY,11000,0,211000,0
20260323,1259,安心,0,0,14000,0
20260323,1264,德麥,0,0,20500,0
20260323,1268,漢來美食,0,0,57000,0
20260323,1294,漢田生技,0,0,75000,0
20260323,1295,生合,0,17000,157000,0
20260323,1301,台塑,6044000,2337000,217388857,0
20260323,1303,南亞,9778000,40000,54220125,0
20260323,1304,台聚,318000,556000,20707000,0
20260323,1305,華夏,79000,62000,16619000,0
20260323,1307,三芳,86000,46000,5693000,0
20260323,1308,亞聚,837000,0,12649000,0
20260323,1309,台達化,0,299000,10139850,0
20260323,1310,台苯,1108000,5000,13030000,0
20260323,1312,國喬,1916000,911000,55539435,0
20260323,1313,聯成,935000,77000,25752000,0
20260323,1314,中石化,16214000,375000,172352033,0
20260323,1315,達新,2000,0,36000,0
20260323,1316,上曜,60000,348000,15314461,0
20260323,1319,東陽,252000,15000,20688854,0
20260323,1321,大洋,11000,0,1524000,0
20260323,1323,永裕,4000,0,137000,0
20260323,1324,地球,4000,0,131000,0
20260323,1325,恆大,2000,0,1754000,0
20260323,1326,台化,5038000,937000,120266318,0
20260323,1336,台翰,0,0,414000,0
20260323,1337,再生-KY,44000,0,2586994,0
20260323,1338,廣華-KY,1000,0,276000,0
20260323,1339,昭輝,0,0,229000,0
20260323,1340,勝悅-KY,6000,2000,1088600,0
20260323,1342,八貫,49000,1000,1144000,0
20260323,1402,遠東新,5053000,131000,72805000,0
20260323,1409,新纖,49000,184000,11042000,0
20260323,1410,南染,2000,0,64000,0
20260323,1413,宏洲,0,0,0,0
20260323,1414,東和,0,0,111000,0
20260323,1416,廣豐,9000,0,417000,0
20260323,1417,嘉裕,11000,0,443000,0
20260323,1418,東華,2000,0,72000,0
20260323,1419,新紡,5000,45000,1451000,0
20260323,1423,利華,4000,0,78000,0
20260323,1432,大魯閣,0,0,0,0
20260323,1434,福懋,231000,13000,7095000,0
20260323,1435,中福,0,0,0,0
20260323,1436,華友聯,67000,14000,2171867,0
20260323,1437,勤益控,7000,0,418000,0
